hospital,error_type,invoice_id,planted_line,detail,line_match_before,line_match_after,flagged,category_found,extra_categories,expected_total,original_total,contract_total,total_equals_original,tier,confidence,spillover_in_batch
H1,unit_price_mismatch,INV-H1-000298,H1-L00298-14,price x2,exact,exact,1,1,,4323122,4323122,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000032,H1-L00032-01,price x1.75,unit_tiebreak,unit_tiebreak,1,1,,5775993,5775993,,1,F3,0.8,0
H1,unit_price_mismatch,INV-H1-000565,H1-L00565-04,price x2,exact,exact,1,1,,3445946,3445946,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000150,H1-L00150-07,price x0.5,exact,exact,1,1,,4188767,4188767,,1,F2,0.93,0
H1,unit_price_mismatch,INV-H1-000487,H1-L00487-02,price x0.75,exact,exact,1,1,,4225949,4225949,,1,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000645,H1-L00645-07,unit per_procedure and price x2 on the same line,exact,exact,1,0,,2148910,1936535,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000791,H1-L00791-14,unit per_day and price x2 on the same line,exact,exact,1,0,,3994375,3490975,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000336,H1-L00336-04,unit per_item and price x2 on the same line,exact,exact,1,0,,6969976,6942726,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000691,H1-L00691-02,unit per_hour and price x2 on the same line,exact,exact,1,0,,4287925,3328275,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000357,H1-L00357-01,unit per_day and price x2 on the same line,exact,exact,1,0,,2207082,2148982,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000602,H1-L00602-04,unit per_item and price x2 on the same line,exact,exact,1,0,,4009682,3950832,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000364,H1-L00364-12,unit per_night and price x2 on the same line,exact,exact,1,0,,2315850,2135850,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000702,H1-L00702-13,unit per_item and price x2 on the same line,exact,exact,1,0,,4446205,4360605,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000200,H1-L00200-03,unit per_day and price x2 on the same line,exact,exact,1,0,,429215,391940,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000587,H1-L00587-03,unit per_hour and price x2 on the same line,exact,exact,1,0,,1424850,945025,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000727,H1-L00727-16,unit per_item and price x2 on the same line,price_tiebreak,ambiguous,0,0,,2717080,2700630,,0,C5,0.7,0
H1,wrong_unit_plus_price,INV-H1-000288,H1-L00288-12,unit per_procedure and price x2 on the same line,exact,exact,1,0,,2706384,2537184,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000386,H1-L00386-05,unit per_hour and price x2 on the same line,exact,exact,1,0,,1052300,993200,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000898,H1-L00898-04,unit per_night and price x2 on the same line,strong,none,1,0,unknown_service,3001903,2237689,,0,F3,0.8,0
H1,wrong_unit_plus_price,INV-H1-000567,H1-L00567-07,unit per_test and price x2 on the same line,exact,exact,1,0,,1354830,1279830,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000875,H1-L00875-03,unit per_test and price x2 on the same line,exact,exact,1,0,,1892591,1851716,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000228,H1-L00228-08,unit per_item and price x2 on the same line,strong,none,1,0,unknown_service,5730058,5703033,,0,F3,0.8,0
H1,wrong_unit_plus_price,INV-H1-000054,H1-L00054-03,unit per_hour and price x2 on the same line,exact,exact,1,0,,775645,735320,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000239,H1-L00239-17,unit per_night and price x2 on the same line,exact,exact,1,0,,5784243,5281118,,0,F2,0.93,0
H1,wrong_unit_plus_price,INV-H1-000509,H1-L00509-13,unit per_visit and price x2 on the same line,exact,exact,1,0,,3129401,2951276,,0,F2,0.93,0
H1,line_total_arithmetic,INV-H1-000334,H1-L00334-11,line total off by one unit (+87250),exact,exact,1,1,,3936038,3936038,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000474,H1-L00474-16,line total off by one unit (-36800),exact,exact,1,1,,4779128,4779128,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000105,H1-L00105-02,line total off by one unit (+8585),exact,exact,1,1,,803700,803700,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000845,H1-L00845-01,line total off by one unit (-16950),strong,strong,1,1,,3290314,3290314,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000084,H1-L00084-05,line total off by one unit (+5350),exact,exact,1,1,,1691000,1691000,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000029,H1-L00029-02,line total off by one unit (-130125),exact,exact,1,1,,2568375,2568375,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000090,H1-L00090-05,line total off by one unit (+96975),exact,exact,1,1,,5789172,5789172,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000302,H1-L00302-05,line total off by one unit (-10150),exact,exact,1,1,,2047225,2047225,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000163,H1-L00163-03,line total off by one unit (+279225),exact,exact,1,1,,1275816,1275816,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000220,H1-L00220-02,line total off by one unit (-215875),exact,exact,1,1,,3949434,3949434,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000337,H1-L00337-05,line total off by one unit (+35625),exact,exact,1,1,,2136588,2136588,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000687,H1-L00687-01,line total off by one unit (-11000),unit_tiebreak,unit_tiebreak,1,1,,2005410,2005410,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000622,H1-L00622-06,line total off by one unit (+14775),exact,exact,1,1,,1015412,1015412,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000599,H1-L00599-02,line total off by one unit (-127369),exact,exact,1,1,,1920921,1920921,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000878,H1-L00878-05,line total off by one unit (-124450),exact,exact,1,1,,465023,465023,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000134,H1-L00134-13,line total off by one unit (+151975),exact,exact,1,1,,4346902,4346902,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000265,H1-L00265-02,line total off by one unit (-22775),exact,exact,1,1,,1725938,1725938,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000381,H1-L00381-07,line total off by one unit (-58375),exact,exact,1,1,,3752825,3752825,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000588,H1-L00588-06,line total off by one unit (+5350),exact,exact,1,1,,2671035,2671035,,1,F1,0.97,0
H1,line_total_arithmetic,INV-H1-000509,H1-L00509-03,line total off by one unit (-10200),exact,exact,1,1,,2951276,2951276,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000701,,invoice total +100000,,,1,1,,729214,729214,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000377,,invoice total -100000,,,1,1,,1769400,1769400,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000082,,invoice total -100000,,,1,1,,3250327,3250327,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000815,,invoice total -100000,,,1,1,,3088264,3088264,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000287,,invoice total -25000,,,1,1,,6027372,6027372,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000855,,invoice total +100000,,,1,1,,2836990,2836990,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000747,,invoice total +50000,,,1,1,,5741085,5741085,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000494,,invoice total -25000,,,1,1,,3822326,3822326,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000315,,invoice total -100000,,,1,1,,2377226,2377226,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000608,,invoice total +50000,,,1,1,,3565158,3565158,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000265,,invoice total -25000,,,1,1,,1725938,1725938,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000057,,invoice total +100000,,,1,1,,5416708,5416708,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000414,,invoice total -25000,,,1,1,,2722135,2722135,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000160,,invoice total +100000,,,1,1,,3094372,3094372,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000089,,invoice total +50000,,,1,1,,5768078,5768078,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000596,,invoice total -25000,,,1,1,,3523860,3523860,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000091,,invoice total +50000,,,1,1,,4143318,4143318,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000413,,invoice total -100000,,,1,1,,2339140,2339140,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000311,,invoice total -25000,,,1,1,,5054797,5054797,,1,F1,0.97,0
H1,invoice_total_mismatch,INV-H1-000728,,invoice total +100000,,,1,1,,3622993,3622993,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000205,,INS-H5-2024-0731,,,1,1,,2828080,2828080,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000256,,INS-H3-2024-0562,,,1,1,,3513900,3513900,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000493,,INS-H3-2024-0562,,,1,1,,2157125,2157125,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000527,,INS-H2-2024-1183,,,1,1,,3024760,3024760,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000656,,INS-H4-2024-2049,,,1,1,,3242574,3242574,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000813,,INS-H3-2024-0562,,,1,1,,3977875,3977875,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000632,,INS-H4-2024-2049,,,1,1,,2340620,2340620,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000858,,INS-H5-2024-0731,,,1,1,,2163860,2163860,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000687,,INS-H4-2024-2049,,,1,1,,2005410,2005410,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000780,,INS-H4-2024-2049,,,1,1,,2770225,2770225,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000707,,INS-H2-2024-1183,,,1,1,,1936925,1936925,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000736,,INS-H3-2024-0562,,,1,1,,2087322,2087322,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000183,,INS-H3-2024-0562,,,1,1,,2300536,2300536,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000373,,INS-H2-2024-1183,,,1,1,,4111730,4111730,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000807,,INS-H5-2024-0731,,,1,1,,1638523,1638523,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000691,,INS-H5-2024-0731,,,1,1,,3328275,3328275,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000133,,INS-H2-2024-1183,,,1,1,,1524655,1524655,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000140,,INS-H4-2024-2049,,,1,1,,1375954,1375954,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000783,,INS-H5-2024-0731,,,1,1,,642675,642675,,1,F1,0.97,0
H1,contract_number_mismatch,INV-H1-000834,,INS-H5-2024-0731,,,1,1,,1031797,1031797,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000095,,reuses INV-H1-000095,,,1,1,,2182558,2182558,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000312,,reuses INV-H1-000312,,,1,1,,4953447,4953447,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000053,,reuses INV-H1-000053,,,1,1,,4267224,4267224,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000138,,reuses INV-H1-000138,,,1,1,,2609985,2609985,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000097,,reuses INV-H1-000097,,,1,1,,3888554,3888554,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000459,,reuses INV-H1-000459,,,1,1,,3776025,3776025,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000345,,reuses INV-H1-000345,,,1,1,,3290314,3290314,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000130,,reuses INV-H1-000130,,,1,1,,1924073,1924073,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000092,,reuses INV-H1-000092,,,1,1,,610500,610500,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000052,,reuses INV-H1-000052,,,1,1,,4232124,4232124,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000118,,reuses INV-H1-000118,,,1,1,,2993000,2993000,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000230,,reuses INV-H1-000230,,,1,1,,3150657,3150657,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000214,,reuses INV-H1-000214,,,1,1,,2888275,2888275,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000019,,reuses INV-H1-000019,,,1,1,,1106125,1106125,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000080,,reuses INV-H1-000080,,,1,1,,1480030,1480030,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000446,,reuses INV-H1-000446,,,1,1,,2573703,2573703,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000085,,reuses INV-H1-000085,,,1,1,,3794865,3794865,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000042,,reuses INV-H1-000042,,,1,1,,1178920,1178920,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000067,,reuses INV-H1-000067,,,1,1,,3796850,3796850,,1,F1,0.97,0
H1,duplicate_invoice_id,INV-H1-000017,,reuses INV-H1-000017,,,1,1,,3732703,3732703,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000003,H1-L00003-03,31/02/2024,exact,exact,1,1,,5777580,5777580,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000109,H1-L00109-15,31/02/2024,unit_tiebreak,unit_tiebreak,1,1,,4890475,4890475,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000822,H1-L00822-02,31/02/2024,exact,exact,1,1,,1267835,1267835,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000565,H1-L00565-06,31/02/2024,exact,exact,1,1,,3445946,3445946,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000249,H1-L00249-01,31/02/2024,exact,exact,1,1,,3013610,3013610,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000335,H1-L00335-09,31/02/2024,exact,exact,1,1,,3255685,3255685,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000729,H1-L00729-13,31/02/2024,exact,exact,1,1,,3644405,3644405,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000388,H1-L00388-03,31/02/2024,exact,exact,1,1,unit_price_mismatch,1479222,1449822,,0,F1,0.97,0
H1,malformed_service_date,INV-H1-000530,H1-L00530-01,31/02/2024,exact,exact,1,1,,3123234,3123234,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000170,H1-L00170-05,31/02/2024,strong,strong,1,1,,3948137,3948137,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000660,H1-L00660-03,31/02/2024,unit_tiebreak,unit_tiebreak,1,1,,735150,735150,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000117,H1-L00117-08,31/02/2024,exact,exact,1,1,,1754196,1754196,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000250,H1-L00250-17,31/02/2024,exact,exact,1,1,,4872236,4872236,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000309,H1-L00309-07,31/02/2024,strong,strong,1,1,,3586962,3586962,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000901,H1-L00901-16,31/02/2024,exact,exact,1,1,unit_price_mismatch,3269325,3226125,,0,F1,0.97,0
H1,malformed_service_date,INV-H1-000535,H1-L00535-06,31/02/2024,exact,exact,1,1,,1985850,1985850,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000579,H1-L00579-02,31/02/2024,exact,exact,1,1,,1017624,1017624,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000178,H1-L00178-08,31/02/2024,exact,exact,1,1,,1634893,1634893,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000473,H1-L00473-03,31/02/2024,exact,exact,1,1,,246400,246400,,1,F1,0.97,0
H1,malformed_service_date,INV-H1-000638,H1-L00638-03,31/02/2024,exact,exact,1,1,,1080593,1080593,,1,F1,0.97,0
H1,service_date_out_of_window,INV-H1-000858,H1-L00858-02,2026-04-16,strong,strong,1,1,,2163860,2163860,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000617,H1-L00617-12,2026-02-16,exact,exact,1,1,,2600735,2600735,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000541,H1-L00541-02,2026-03-25,exact,exact,1,1,,4089849,4089849,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000641,H1-L00641-14,2026-05-08,strong,strong,1,1,,3930631,3930631,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000216,H1-L00216-01,2026-04-14,exact,exact,1,1,unit_price_mismatch,835938,848096,,0,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000180,H1-L00180-11,2026-03-03,exact,exact,1,1,,2668790,2668790,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000307,H1-L00307-15,2026-04-17,exact,exact,1,1,,4566413,4566413,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000008,H1-L00008-03,2026-05-04,exact,exact,1,1,volume_discount_omitted,768395,798790,,0,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000860,H1-L00860-01,2026-03-03,exact,exact,1,1,,4432235,4432235,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000816,H1-L00816-02,2026-01-15,exact,exact,1,1,,3836485,3836485,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000282,H1-L00282-05,2026-03-02,exact,exact,1,1,,4099094,4099094,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000630,H1-L00630-09,2026-01-17,exact,exact,1,1,,2093686,2093686,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000516,H1-L00516-08,2026-04-03,exact,exact,1,1,,1969332,1969332,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000297,H1-L00297-07,2026-01-25,strong,strong,1,1,,3733404,3733404,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000311,H1-L00311-05,2026-02-19,exact,exact,1,1,,5054797,5054797,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000309,H1-L00309-09,2026-05-05,exact,exact,1,1,,3586962,3586962,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000528,H1-L00528-07,2026-03-05,exact,exact,1,1,,1888595,1888595,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000579,H1-L00579-03,2026-01-26,strong,strong,1,1,,1017624,1017624,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000252,H1-L00252-02,2026-02-24,exact,exact,1,1,,863125,863125,,1,F1,0.97,2
H1,service_date_out_of_window,INV-H1-000160,H1-L00160-09,2026-05-19,exact,exact,1,1,unit_price_mismatch,3152222,3094372,,0,F1,0.97,2
H1,service_date_after_invoice_date,INV-H1-000648,H1-L00648-02,2025-06-24 > invoice 2025-06-23,exact,exact,1,1,,2171482,2171482,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000655,H1-L00655-08,2025-07-03 > invoice 2025-07-01,unit_tiebreak,unit_tiebreak,1,1,,5073640,5073640,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000526,H1-L00526-02,2025-03-24 > invoice 2025-03-18,exact,exact,1,1,,2853443,2853443,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000292,H1-L00292-11,2024-09-10 > invoice 2024-09-05,exact,exact,1,1,,5170138,5170138,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000290,H1-L00290-11,2024-09-07 > invoice 2024-09-05,exact,exact,1,1,,2638495,2638495,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000693,H1-L00693-03,2025-07-23 > invoice 2025-07-17,exact,exact,1,1,,3469593,3469593,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000848,H1-L00848-07,2025-11-18 > invoice 2025-11-14,strong,strong,1,1,,3271454,3271454,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000428,H1-L00428-04,2025-01-01 > invoice 2024-12-25,exact,exact,1,1,,3561933,3561933,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000255,H1-L00255-06,2024-08-06 > invoice 2024-08-01,exact,exact,1,1,,2420053,2420053,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000671,H1-L00671-15,2025-07-17 > invoice 2025-07-15,exact,exact,1,1,,3243888,3243888,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000052,H1-L00052-01,2024-02-22 > invoice 2024-02-16,exact,exact,1,1,,5011000,5011000,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000443,H1-L00443-04,2025-01-09 > invoice 2025-01-08,exact,exact,1,1,,3348335,3348335,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000334,H1-L00334-07,2024-10-15 > invoice 2024-10-13,exact,exact,1,1,,3936038,3936038,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000788,H1-L00788-02,2025-10-01 > invoice 2025-09-26,exact,exact,1,1,,1059825,1059825,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000824,H1-L00824-03,2025-10-31 > invoice 2025-10-25,exact,exact,1,1,,2221734,2221734,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000849,H1-L00849-03,2025-11-20 > invoice 2025-11-13,exact,exact,1,1,unit_price_mismatch,3981473,3927848,,0,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000462,H1-L00462-03,2025-01-30 > invoice 2025-01-24,exact,exact,1,1,,4025065,4025065,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000591,H1-L00591-15,2025-05-06 > invoice 2025-05-04,exact,exact,1,1,,1075770,1075770,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000193,H1-L00193-05,2024-06-23 > invoice 2024-06-20,exact,exact,1,1,,1199225,1199225,,1,F1,0.97,0
H1,service_date_after_invoice_date,INV-H1-000713,H1-L00713-03,2025-08-09 > invoice 2025-08-05,exact,exact,1,1,unit_price_mismatch,2445343,2411518,,0,F1,0.97,0
H1,wrong_unit_basis,INV-H1-000226,H1-L00226-02,per_hour -> per_test,exact,exact,1,1,,3052975,3052975,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000028,H1-L00028-08,per_hour -> per_procedure,exact,exact,1,1,,3658525,3658525,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000339,H1-L00339-10,per_day -> per_procedure,exact,exact,1,1,,3912969,3912969,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000688,H1-L00688-10,per_day -> per_item,exact,exact,1,1,,2320550,2320550,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000245,H1-L00245-01,per_hour -> per_visit,exact,exact,1,1,,1082990,1082990,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000727,H1-L00727-15,per_item -> per_visit,exact,exact,1,1,,2700630,2700630,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000116,H1-L00116-01,per_night -> per_item,exact,exact,1,1,,2979088,2979088,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000832,H1-L00832-08,per_unit_dispensed -> per_hour,exact,exact,1,1,,4095085,4095085,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000324,H1-L00324-03,per_procedure -> per_test,exact,exact,1,1,,2108575,2108575,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000729,H1-L00729-01,per_item -> per_day,exact,exact,1,1,,3644405,3644405,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000536,H1-L00536-02,per_unit_dispensed -> per_item,exact,exact,1,1,,1528310,1528310,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000730,H1-L00730-03,per_procedure -> per_hour,strong,strong,1,1,,1178920,1178920,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000050,H1-L00050-06,per_procedure -> per_unit_dispensed,exact,exact,1,1,,3415025,3415025,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000510,H1-L00510-10,per_visit -> per_item,exact,exact,1,1,,2299574,2299574,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000496,H1-L00496-11,per_day -> per_procedure,exact,exact,1,1,,2393178,2393178,,1,F2,0.93,0
H1,wrong_unit_basis,INV-H1-000266,H1-L00266-09,per_procedure -> per_day,exact,exact,1,1,,2910707,2910707,,1,F2,0.93,0
